headlines,terms,dates
earthtalk: obama and romney on the environment: filed under: energy news alternative energy,romney,Thu Oct 18 14:23:33 +0000 2012
earthtalk: obama and romney on the environment: filed under: energy news ,romney,Thu Oct 18 14:23:33 +0000 2012
earthtalk: obama and romney on the environment: filed under: energy news ,romney,Thu Oct 18 14:23:33 +0000 2012
"ted turner says he's voting for obama bcuz he's better on the environment. ""romney's gotten a little too close to the coal, gas &amp; oil guys.""",romney,Thu Oct 18 14:13:35 +0000 2012
rt @energycollectiv earthtalk: obama and romney on the environment by earth_warming ,romney,Thu Oct 18 14:13:09 +0000 2012
"obama's white house a ""hostile work environment"" toward women. strange, that woman-hater romney wasn't accused of being hostile toward women",romney,Thu Oct 18 13:50:05 +0000 2012
earthtalk: obama and romney on the environment by earth_warming ,romney,Thu Oct 18 13:48:33 +0000 2012
will us wind power splutter out if mitt romney cuts its subsidy? via @guardian,romney,Thu Oct 18 12:56:51 +0000 2012
"@rha451 @lacina52 @karlrove we know that romney was brought up in a loving environment, look into obama's past; radical left wing anger!",romney,Thu Oct 18 12:50:19 +0000 2012
romney's position on climate change &amp; environment: earth is ours to exploit &amp; ruin; we can pollute the air &amp; land as long as we make $$$,romney,Thu Oct 18 12:47:20 +0000 2012
"environment health news: obama, romney cherry-pick energy data to make their case.: president obama touted his oil... ",romney,Thu Oct 18 12:42:02 +0000 2012
rt @rushisntfunny: #romney's energy plan is to wreck as much of the environment as quickly as possible to feed the oil beast. drill and ...,romney,Thu Oct 18 12:32:02 +0000 2012
rt @carbonbrief: what's the fate for us wind power if mitt romney takes charge? ,romney,Thu Oct 18 11:29:39 +0000 2012
rt @carbonbrief: what's the fate for us wind power if mitt romney takes charge? ,romney,Thu Oct 18 11:17:08 +0000 2012
what's the fate for us wind power if mitt romney takes charge? ,romney,Thu Oct 18 11:15:45 +0000 2012
"on environment, romney living in fantasy world ",romney,Thu Oct 18 11:04:51 +0000 2012
"on environment, romney living in fantasy world ",romney,Thu Oct 18 10:56:08 +0000 2012
rt @progressivepush: you bet...will us wind power splutter out if mitt romney cuts its subsidy? ,romney,Thu Oct 18 09:53:57 +0000 2012
the sound of climate silence:romney and obama spar over who wants to drill for more fossil fuels during debate|alternet ,romney,Thu Oct 18 09:51:49 +0000 2012
you bet...will us wind power splutter out if mitt romney cuts its subsidy? ,romney,Thu Oct 18 09:44:59 +0000 2012
rt @rushisntfunny: #romney's energy plan is to wreck as much of the environment as quickly as possible to feed the oil beast. drill and ...,romney,Thu Oct 18 08:38:57 +0000 2012
#romney's energy plan is to wreck as much of the environment as quickly as possible to feed the oil beast. drill and frack more. #disaster,romney,Thu Oct 18 08:34:22 +0000 2012
