headlines,terms,dates
@nancyglidden1 haha. trump built the greatest economy the world has ever seen and he’ll do it again. i think the st… https://t.co/p6pn7ccmn3,trump,Thu May 28 23:57:13 +0000 2020
"@tedlieu @facebook @realdonaldtrump everything in this ad is the fault of the virus. before the virus, our country… https://t.co/r36toxqfof",trump,Thu May 28 23:57:00 +0000 2020
"rt @lalaej: trump's new maga 2.0 slogan: make america great again, again. obama handed 45 a stellar economy on a silver platter. 6x bankr…",trump,Thu May 28 23:56:57 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:56:45 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:56:43 +0000 2020
rt @wsjecon: trump administration official says economic projections wouldn’t provide a “meaningful snapshot” of the economy because of unc…,trump,Thu May 28 23:56:36 +0000 2020
"rt @orcatra: twitter fact-checks china official after confronted over trump double-standard https://t.co/oqxnjfwgkbyep, here’s an example…",trump,Thu May 28 23:56:33 +0000 2020
"rt @cajun4trump: breaking exclusive: shhh... the greatest economic recovery in us history has begun - dow up nearly 7,000 points since marc…",trump,Thu May 28 23:56:32 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:56:32 +0000 2020
"rt @wtp__2020: the economy isn't working for normal people. under trump, the wealth gap continues to explode. it's accelerated with covid…",trump,Thu May 28 23:56:32 +0000 2020
trump administration official says economic projections wouldn’t provide a “meaningful snapshot” of the economy bec… https://t.co/gmyl0iax4g,trump,Thu May 28 23:56:30 +0000 2020
"rt @rightntruthmat: @funder @realdonaldtrump 100,000 lives are losttrump is incompetent, unfit, and mia and now wants us to die for his e…",trump,Thu May 28 23:56:12 +0000 2020
"rt @delanoyestrat: tune in @avoicenews live @2 pm est as former trump admin deputy assistant secretary, @drgavinclarkson, joins to discuss…",trump,Thu May 28 23:56:12 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:55:59 +0000 2020
"rt @rightntruthmat: @realdonaldtrump @miamidadecounty @usdot 100,000 lives are losttrump is incompetent, unfit, and mia and now wants us…",trump,Thu May 28 23:55:57 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:55:54 +0000 2020
@berniesanders that was exactly what the democrats wanted. destroy our economy and blame president trump and pretend that they care.,trump,Thu May 28 23:55:53 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:55:49 +0000 2020
@_reaalamerican_ @realdonaldtrump @rideuta trump had an amazing economy. the dipshit governors shut everything down… https://t.co/sktqhnsnhh,trump,Thu May 28 23:55:46 +0000 2020
"rt @thehill: katrina pierson: ""all of the democrats know that president trump if anything can jumpstart this economy."" https://t.co/knyyotg…",trump,Thu May 28 23:55:42 +0000 2020
icymi: the trump administration rolled back fuel economy standards amid the covid-19 pandemic. mi ag dana nessel sa… https://t.co/sqpzcfcvxm,trump,Thu May 28 23:55:42 +0000 2020
rt @roonie_bear: the left is so afraid of trumps working policies that they want this economy to fail. trumps in it to win it🇺🇸🔹dems report…,trump,Thu May 28 23:55:35 +0000 2020
@ryandel88 @louiskid502 @joebiden @thewadekeller he is more of a leader than trump that is for sure. trump is only… https://t.co/mtibokurdx,trump,Thu May 28 23:55:29 +0000 2020
"when you can't tell the truth, you lie.when you get caught lying, you hide the information.trump won't show the… https://t.co/lh6bcl3ydz",trump,Thu May 28 23:55:26 +0000 2020
@amerindependent what? i cant see trump over the mountian of dead americans all because trump ignored us intelligen… https://t.co/ovc8vb5eir,trump,Thu May 28 23:55:22 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:55:13 +0000 2020
rt @marypatriotnews: if these riots get worse we will get a corona virus response #marcusrogers #maga #jesussaves #islam #faith #trump #fi…,trump,Thu May 28 23:55:05 +0000 2020
"@jesuslovingmess @usmade1001 @realdonaldtrump stephanie j , i couldn't agree with you more ! president trump is the… https://t.co/hmar5kvkiv",trump,Thu May 28 23:54:57 +0000 2020
"rt @rightntruthmat: @realdonaldtrump 100,000 lives are losttrump is incompetent, unfit, and mia and now wants us to die for his economy a…",trump,Thu May 28 23:54:54 +0000 2020
"""human capital stock"" that's what trump and his administration thinks of the american people. why do you think trum… https://t.co/rmlcxwabmd",trump,Thu May 28 23:54:51 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:54:47 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:54:44 +0000 2020
"rt @rightntruthmat: @realdonaldtrump 100,000 lives are losttrump is incompetent, unfit, and mia and now wants us to die for his economy a…",trump,Thu May 28 23:54:42 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:54:39 +0000 2020
"rt @paulkrugman: of course, we aren't having a rational debate here: if the economy were really the issue, trump would be doing everything…",trump,Thu May 28 23:54:34 +0000 2020
"rt @wtp__2020: the economy isn't working for normal people. under trump, the wealth gap continues to explode. it's accelerated with covid…",trump,Thu May 28 23:54:33 +0000 2020
the only way trump thrives is by speaking bull sh*t. pay zero attention for the moment. it's all horse*hit.this… https://t.co/tyunvytojo,trump,Thu May 28 23:54:18 +0000 2020
rt @themaxburns: my latest for @independent: @realdonaldtrump's election-only messaging is going down in flames. he could be handing @joebi…,trump,Thu May 28 23:54:18 +0000 2020
rt @cosweda: the pandemic and the necessity to shut down the economy.he breezed through both.trump's history shows that he uses strateg…,trump,Thu May 28 23:54:13 +0000 2020
rt @richforga: i’ve been a big fan of congressman hice and it is an honor to be endorsed by him! together we will help @realdonaldtrump hol…,trump,Thu May 28 23:54:11 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:54:09 +0000 2020
"we’re bombarded all day long now by ads for masks, yet trump, who claims he’s great for the economy, keeps discoura… https://t.co/wdlr1r8zru",trump,Thu May 28 23:54:08 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:53:59 +0000 2020
"@realdonaldtrump google criticized pres. trump's executive order ""undermining section 230 in this way would hurt am… https://t.co/vrcoq5jxgy",trump,Thu May 28 23:53:54 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:53:48 +0000 2020
rt @proudsocialist: centrists are wrong. america’s not failing because of trump.it’s failing because of:1. systemic racism2. rigged ec…,trump,Thu May 28 23:53:47 +0000 2020
@thomaskaine5 it has propped up trump’s economy for almost 4 years and now the stock market. it. is. disgusting. 😝😝😝,trump,Thu May 28 23:53:46 +0000 2020
@trumpwarroom @joebiden @realdonaldtrump the democrats want the economy to fail. they are using the corona virus to… https://t.co/esiegz7p0c,trump,Thu May 28 23:53:45 +0000 2020
ty @agbecerra for leading charge against trump admin’s harmful misguided attacks on better fuel efficiency standard… https://t.co/6e5p7ojiod,trump,Thu May 28 23:53:34 +0000 2020
