headlines,terms,dates
"rt @meidastouch: 🧠 on the meidastouch podcast, @bandyxlee1 said trump is damaging to americans’ mental health and is causing “trump anxiety…",trump,Thu May 28 23:58:02 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:58:00 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:59 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:55 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:53 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:51 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:49 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:46 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:45 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:40 +0000 2020
"@danmicovic @seanhannity i'm really struggling with your logic there, bro. given that trump inherited the economy f… https://t.co/dfip8wk7ep",trump,Thu May 28 23:57:39 +0000 2020
"rt @atrupar: pelosi says mark zuckerberg ""just panders"" to trump, describes facebook's business model as ""to misrepresent the facts,"" and t…",trump,Thu May 28 23:57:39 +0000 2020
https://t.co/gpmwczdryumore #trumpadministration keystone cop action #trumpdeathtoll100k #tuckfrump #coronavirus,trump,Thu May 28 23:57:39 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:35 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:33 +0000 2020
@realdonaldtrump @yoyoel i’m voting by mail. i have health issues and can’t be in crowds. you donald trump voted by… https://t.co/35dd0vekyp,trump,Thu May 28 23:57:32 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:29 +0000 2020
rt @joebiden: we’re in the middle of a global pandemic — and not only is donald trump preventing people from getting the health insurance t…,trump,Thu May 28 23:57:28 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:27 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:57:26 +0000 2020
"rt @luisespinosa304: 19/5/2020los italianos instan a las naciones del g20 a unirse a trump para desfinanciar a la omsmás de 200,000 ita…",trump,Thu May 28 23:57:18 +0000 2020
rt @soup717: @jwharris @atrupar so twitter fact checks trump on tuesday and he has an executive order ready to punish them by thursday. tr…,trump,Thu May 28 23:57:08 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:59 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:55 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:49 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:49 +0000 2020
"rt @jamilsmith: trump encouraging folks to violate state public-health orders is “good cause” for his removal from office, @jayinslee told…",trump,Thu May 28 23:56:45 +0000 2020
"rt @ssseaboq: don’t forget: trump fueling racism, treason &amp; 20,000+ lies, misleading all health/welfare of the nation; as well as his perso…",trump,Thu May 28 23:56:44 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:44 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:41 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:39 +0000 2020
rt @bylenasun: new: the trump administration mishandled initial distribution of the only approved coronavirus medication. it got sent to th…,trump,Thu May 28 23:56:35 +0000 2020
"@realdonaldtrump h1n1 and ebola, none were pandemics. obama took it serious and responded with science, cdc and top… https://t.co/i4adf246kj",trump,Thu May 28 23:56:33 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:31 +0000 2020
"rt @ronwyden: trump’s order is plainly illegal. after driving our country into an economic and health care disaster, trump is desperately t…",trump,Thu May 28 23:56:27 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:27 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:24 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:23 +0000 2020
rt @qanonesp: los italianos instan a las naciones del g20 a unirse a trump para desfinanciar a la oms.https://t.co/rnx5v91lya,trump,Thu May 28 23:56:23 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:21 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:12 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:09 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:08 +0000 2020
"rt @thedemocrats: trump has broken his promises to protect americans time and again. he promised to protect health care, but he’s fighting…",trump,Thu May 28 23:56:03 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:56:00 +0000 2020
"rt @ronwyden: trump’s order is plainly illegal. after driving our country into an economic and health care disaster, trump is desperately t…",trump,Thu May 28 23:55:57 +0000 2020
the trump would they actually incredibly tired and then marshal law has low health care is,trump,Thu May 28 23:55:57 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:56 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:56 +0000 2020
"rt @thedemocrats: if vote-by-mail is safe enough for trump to use, why doesn’t he want americans to use it? trump’s lies and hypocrisy not…",trump,Thu May 28 23:55:55 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:53 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:50 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:50 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:49 +0000 2020
"rt @staywonked: trump doesn't care about the security, safety or health of the american people as a result of coronavirus. all he cares abo…",trump,Thu May 28 23:55:45 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:45 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:41 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:40 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:38 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:36 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:30 +0000 2020
rt @joebiden: donald trump is not responsible for the coronavirus. but he does bear full responsibility for failing to protect our nation f…,trump,Thu May 28 23:55:25 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:22 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:16 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:14 +0000 2020
"rt @kylegriffin1: the trump admin mishandled the initial distribution of the only approved coronavirus medication, remdesivir, delaying tre…",trump,Thu May 28 23:55:13 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:09 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:06 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:05 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:55:05 +0000 2020
trump administration initially dispensed scarce covid-19 drug to some hospitals that didn’t need it https://t.co/7tpymccv1g,trump,Thu May 28 23:55:04 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:55 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:53 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:52 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:50 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:46 +0000 2020
"rt @kylegriffin1: when trump took office, his team stopped work on new federal regulations that would have forced the health care industry…",trump,Thu May 28 23:54:45 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:45 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:43 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:42 +0000 2020
"rt @reginat01716957: heavenly father, protect pres trump, his cabinet, our military &amp; all their loved ones by your mighty angels. guard the…",trump,Thu May 28 23:54:40 +0000 2020
"rt @trump_detester: the kind of president who signs an exucutive order immediately after he was wronged by twitter, but does nothing to add…",trump,Thu May 28 23:54:36 +0000 2020
@glennlittle5 the world does not lead in coronavirus testing. donald trump and his administration may place their o… https://t.co/8g9nncharv,trump,Thu May 28 23:54:33 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:32 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:30 +0000 2020
"rt @karolcummins: trump administration mishandled initial distribution of remdesivir for coronavirus treatment, delaying treatment to some…",trump,Thu May 28 23:54:29 +0000 2020
rt @qanonesp: los italianos instan a las naciones del g20 a unirse a trump para desfinanciar a la oms.https://t.co/rnx5v91lya,trump,Thu May 28 23:54:29 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:29 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:28 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:27 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:27 +0000 2020
rt @bylenasun: new: the trump administration mishandled initial distribution of the only approved coronavirus medication. it got sent to th…,trump,Thu May 28 23:54:22 +0000 2020
"rt @ronwyden: trump’s order is plainly illegal. after driving our country into an economic and health care disaster, trump is desperately t…",trump,Thu May 28 23:54:22 +0000 2020
rt @rightntruthmat: @realdonaldtrump @usdot @valleymetro trump’s mental health needs to be the national topic of discussionhe continually…,trump,Thu May 28 23:54:21 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:18 +0000 2020
rt @soup717: @jwharris @atrupar so twitter fact checks trump on tuesday and he has an executive order ready to punish them by thursday. tr…,trump,Thu May 28 23:54:12 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:11 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:11 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:11 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:08 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:06 +0000 2020
rt @bravenewfilms: @meidastouch @bandyxlee1 great to see you working with @bandyxlee1!she was in our video mental health experts on trump…,trump,Thu May 28 23:54:05 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:54:00 +0000 2020
"rt @kylegriffin1: the trump admin mishandled the initial distribution of the only approved coronavirus medication, remdesivir, delaying tre…",trump,Thu May 28 23:53:57 +0000 2020
rt @johnis44: @gdad1 not only is donald trump an inept lying leader. the gop has displayed the same ignorance and disregard for their colle…,trump,Thu May 28 23:53:51 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:45 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:41 +0000 2020
"trump planning to strip pandemic response from health officials, and give it to state department https://t.co/kg7mft9sxj",trump,Thu May 28 23:53:39 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:39 +0000 2020
"rt @meidastouch: 🧠 on the meidastouch podcast, @bandyxlee1 said trump is damaging to americans’ mental health and is causing “trump anxiety…",trump,Thu May 28 23:53:38 +0000 2020
"rt @kylegriffin1: the trump admin mishandled the initial distribution of the only approved coronavirus medication, remdesivir, delaying tre…",trump,Thu May 28 23:53:36 +0000 2020
"rt @ronwyden: trump’s order is plainly illegal. after driving our country into an economic and health care disaster, trump is desperately t…",trump,Thu May 28 23:53:36 +0000 2020
ty @agbecerra for leading charge against trump admin’s harmful misguided attacks on better fuel efficiency standard… https://t.co/6e5p7ojiod,trump,Thu May 28 23:53:34 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:34 +0000 2020
rt @soup717: @jwharris @atrupar so twitter fact checks trump on tuesday and he has an executive order ready to punish them by thursday. tr…,trump,Thu May 28 23:53:34 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:32 +0000 2020
"rt @hillaryclinton: a study of 96,000 coronavirus patients found that those who received a drug trump has promoted as a treatment had a “si…",trump,Thu May 28 23:53:28 +0000 2020
"rt @jamilsmith: trump encouraging folks to violate state public-health orders is “good cause” for his removal from office, @jayinslee told…",trump,Thu May 28 23:53:27 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:25 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:22 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:22 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:20 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:19 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:53:19 +0000 2020
