headlines,terms,dates
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:37:34 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:37:18 +0000 2020
new trump public land rules will let alaska hunters kill bear cubs in dens the #trump regim… ,trump,Thu May 28 23:37:08 +0000 2020
rt @dominowski: @veganari @amazinggracetoo for example ... trump rule allows killing bear cubs in dens,trump,Thu May 28 23:37:03 +0000 2020
rt @drdavidhabbel: new trump public land rules will let alaska hunters kill bear cubs in dens ,trump,Thu May 28 23:36:40 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:36:10 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:35:54 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:35:12 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:34:35 +0000 2020
"rt @johnhorning_: this headline pretty much sums up the trump administration's ""management"" of america's #publiclands and #wildlife. allowi…",trump,Thu May 28 23:34:31 +0000 2020
@veganari @amazinggracetoo for example ... trump rule allows killing bear cubs in dens,trump,Thu May 28 23:34:22 +0000 2020
rt @prioritiesusa: new ad: climate change and coronavirus: donald trump’s denial is a painful reality for florida families. we partnered wi…,trump,Thu May 28 23:33:38 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:32:48 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:30:45 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:30:28 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:30:19 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:30:12 +0000 2020
"rt @johnhorning_: this headline pretty much sums up the trump administration's ""management"" of america's #publiclands and #wildlife. allowi…",trump,Thu May 28 23:28:30 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:27:58 +0000 2020
