61,66
26,31
40,45
40,45
51,56
70,75
70,75
26,31
15,20
61,66
26,31
56,61
40,45
40,45
75,80
13,18
56,61
30,35
35,40
40,45
40,45
91,96
45,50
70,75
40,45
56,61
4,9
61,66
23,28
40,45
91,96
4,9
4,9
4,9
4,9
4,9
111,116
37,42
4,9
4,9
4,9
4,9
4,9
4,9
40,45
70,75
18,23
88,93
37,42
29,34
70,75
56,61
26,31
31,36
70,75
70,75
26,31
50,55
70,75
4,9
70,75
19,24
91,96
17,22
87,92
26,31
19,24
70,75
4,9
31,36
40,45
37,42
89,94
31,36
40,45
37,42
31,36
0,5
32,37
70,75
26,31
56,61
65,70
37,42
26,31
26,31
70,75
50,55
76,81
32,37
88,93
40,45
37,42
47,52
50,55
19,24
29,34
30,35
88,93
91,96
91,96
101,106
70,75
91,96
70,75
91,96
37,42
88,93
91,96
91,96
26,31
91,96
26,31
76,81
37,42
70,75
40,45
21,26
30,35
30,35
40,45
123,128
30,35
30,35
30,35
30,35
40,45
26,31
26,31
57,62
30,35
47,52
30,35
31,36
26,31
26,31
40,45
30,35
69,74
30,35
35,40
88,93
30,35
26,31
26,31
45,50
26,31
4,9
88,93
70,75
40,45
70,75
70,75
88,93
34,39
40,45
26,31
70,75
111,116
16,21
26,31
70,75
30,35
26,31
26,31
26,31
88,93
26,31
88,93
30,35
26,31
70,75
57,62
26,31
4,9
15,20
40,45
99,104
111,116
26,31
15,20
15,20
88,93
26,31
26,31
26,31
26,31
30,35
88,93
119,124
26,31
70,75
54,59
70,75
51,56
34,39
26,31
26,31
26,31
26,31
88,93
70,75
88,93
88,93
88,93
4,9
25,30
25,30
26,31
88,93
26,31
26,31
26,31
26,31
88,93
26,31
104,109
57,62
25,30
26,31
30,35
114,119
88,93
88,93
88,93
70,75
88,93
45,50
26,31
26,31
4,9
43,48
26,31
70,75
70,75
88,93
70,75
88,93
88,93
88,93
88,93
88,93
70,75
40,45
70,75
88,93
30,35
70,75
88,93
30,35
70,75
70,75
70,75
70,75
70,75
70,75
70,75
70,75
70,75
70,75
70,75
88,93
58,63
26,31
54,59
40,45
4,9
119,124
15,20
71,76
26,31
61,66
40,45
19,24
26,31
1,6
74,79
26,31
40,45
26,31
26,31
15,20
42,47
61,66
40,45
58,63
119,124
43,48
40,45
40,45
40,45
4,9
85,90
75,80
40,45
40,45
40,45
42,47
40,45
65,70
60,65
40,45
53,58
70,75
26,31
104,109
26,31
58,63
40,45
25,30
26,31
26,31
19,24
4,9
19,24
26,31
70,75
4,9
40,45
25,30
49,54
19,24
121,126
26,31
40,45
19,24
14,19
22,27
77,82
62,67
62,67
14,19
77,82
77,82
77,82
14,19
14,19
77,82
14,19
62,67
14,19
62,67
14,19
12,17
77,82
19,24
62,67
62,67
77,82
55,60
62,67
21,26
77,82
13,18
31,36
62,67
77,82
100,105
77,82
77,82
62,67
62,67
62,67
14,19
62,67
62,67
14,19
62,67
62,67
62,67
62,67
62,67
14,19
62,67
62,67
62,67
0,5
14,19
62,67
62,67
62,67
62,67
62,67
49,54
77,82
77,82
14,19
77,82
14,19
21,26
77,82
14,19
105,110
21,26
77,82
77,82
31,36
77,82
22,27
14,19
19,24
77,82
77,82
77,82
77,82
22,27
41,46
77,82
77,82
77,82
41,46
77,82
77,82
31,36
77,82
77,82
77,82
77,82
77,82
77,82
17,22
77,82
14,19
14,19
14,19
31,36
31,36
87,92
14,19
14,19
14,19
77,82
77,82
77,82
41,46
81,86
55,60
77,82
104,109
77,82
77,82
51,56
4,9
77,82
119,124
77,82
77,82
66,71
14,19
77,82
77,82
14,19
77,82
77,82
84,89
77,82
77,82
77,82
41,46
22,27
77,82
14,19
97,102
14,19
77,82
63,68
19,24
77,82
14,19
77,82
4,9
42,47
14,19
16,21
77,82
14,19
77,82
14,19
77,82
14,19
77,82
109,114
14,19
14,19
41,46
16,21
34,39
14,19
14,19
77,82
77,82
19,24
77,82
21,26
77,82
84,89
16,21
77,82
24,29
14,19
84,89
14,19
77,82
14,19
106,111
77,82
91,96
32,37
77,82
77,82
77,82
77,82
77,82
77,82
19,24
21,26
14,19
77,82
77,82
77,82
62,67
108,113
77,82
77,82
88,93
14,19
77,82
77,82
14,19
14,19
10,15
14,19
77,82
77,82
77,82
14,19
77,82
77,82
77,82
77,82
77,82
19,24
77,82
77,82
19,24
77,82
77,82
77,82
77,82
19,24
14,19
77,82
77,82
14,19
16,21
57,62
51,56
67,72
19,24
95,100
51,56
20,25
16,21
81,86
32,37
4,9
3,8
36,41
27,32
69,74
37,42
51,56
27,32
27,32
27,32
51,56
15,20
106,111
0,5
75,80
37,42
27,32
54,59
37,42
54,59
37,42
87,92
102,107
37,42
27,32
27,32
37,42
37,42
35,40
37,42
66,71
27,32
37,42
37,42
27,32
4,9
29,34
37,42
37,42
37,42
37,42
128,133
37,42
16,21
57,62
8,13
37,42
44,49
27,32
50,55
29,34
87,92
29,34
19,24
77,82
77,82
27,32
29,34
29,34
68,73
29,34
29,34
29,34
13,18
20,25
20,25
31,36
93,98
20,25
27,32
51,56
4,9
17,22
40,45
110,115
27,32
27,32
27,32
86,91
38,43
20,25
27,32
20,25
18,23
25,30
54,59
27,32
26,31
27,32
100,105
26,31
4,9
67,72
85,90
78,83
10,15
20,25
41,46
61,66
27,32
27,32
51,56
27,32
33,38
17,22
77,82
31,36
20,25
27,32
55,60
25,30
27,32
46,51
110,115
37,42
103,108
33,38
20,25
27,32
25,30
4,9
36,41
36,41
36,41
98,103
27,32
20,25
0,5
27,32
57,62
20,25
78,83
27,32
23,28
25,30
20,25
27,32
20,25
20,25
103,108
4,9
87,92
20,25
27,32
27,32
27,32
87,92
27,32
113,118
87,92
25,30
100,105
77,82
27,32
27,32
20,25
20,25
70,75
27,32
100,105
27,32
71,76
26,31
84,89
72,77
38,43
59,64
27,32
29,34
20,25
84,89
73,78
27,32
87,92
87,92
12,17
4,9
48,53
27,32
27,32
27,32
35,40
26,31
27,32
27,32
73,78
58,63
54,59
72,77
27,32
109,114
87,92
27,32
19,24
27,32
27,32
27,32
27,32
27,32
27,32
27,32
27,32
27,32
27,32
27,32
78,83
116,121
27,32
69,74
27,32
77,82
27,32
24,29
27,32
27,32
16,21
27,32
27,32
67,72
25,30
46,51
41,46
14,19
87,92
27,32
22,27
14,19
27,32
82,87
14,19
14,19
27,32
27,32
99,104
6,11
133,138
99,104
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
4,9
133,138
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
38,43
100,105
15,20
15,20
15,20
4,9
15,20
15,20
40,45
15,20
99,104
15,20
82,87
29,34
15,20
15,20
43,48
15,20
15,20
15,20
15,20
0,5
15,20
15,20
15,20
15,20
29,34
15,20
15,20
15,20
15,20
15,20
133,138
79,84
15,20
15,20
133,138
15,20
15,20
133,138
15,20
38,43
15,20
133,138
15,20
15,20
52,57
15,20
15,20
15,20
15,20
15,20
15,20
15,20
3,8
15,20
15,20
15,20
133,138
15,20
15,20
15,20
15,20
15,20
15,20
15,20
51,56
15,20
133,138
51,56
15,20
15,20
133,138
15,20
15,20
133,138
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
34,39
15,20
15,20
15,20
32,37
15,20
15,20
15,20
15,20
15,20
15,20
15,20
46,51
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
76,81
15,20
15,20
77,82
60,65
15,20
15,20
15,20
43,48
15,20
15,20
15,20
15,20
15,20
15,20
15,20
15,20
46,51
64,69
62,67
76,81
46,51
15,20
34,39
73,78
15,20
43,48
16,21
38,43
15,20
15,20
17,22
15,20
15,20
0,5
15,20
124,129
15,20
33,38
15,20
15,20
15,20
15,20
31,36
15,20
15,20
15,20
15,20
15,20
15,20
118,123
45,50
74,79
80,85
71,76
38,43
123,128
123,128
106,111
71,76
4,9
71,76
15,20
71,76
63,68
71,76
71,76
71,76
71,76
71,76
71,76
71,76
71,76
71,76
71,76
71,76
71,76
40,45
87,92
18,23
58,63
62,67
71,76
4,9
67,72
30,35
18,23
125,130
16,21
17,22
71,76
15,20
15,20
15,20
15,20
15,20
104,109
15,20
32,37
38,43
96,101
71,76
4,9
61,66
79,84
4,9
30,35
118,123
38,43
87,92
60,65
41,46
118,123
17,22
118,123
4,9
98,103
32,37
13,18
51,56
50,55
25,30
38,43
21,26
47,52
21,26
16,21
40,45
21,26
17,22
12,17
71,76
71,76
71,76
71,76
0,5
38,43
45,50
17,22
17,22
21,26
4,9
105,110
21,26
41,46
21,26
13,18
0,5
20,25
17,22
17,22
71,76
21,26
17,22
71,76
17,22
15,20
17,22
71,76
17,22
71,76
17,22
4,9
21,26
15,20
66,71
17,22
17,22
17,22
17,22
17,22
21,26
17,22
17,22
15,20
17,22
73,78
17,22
21,26
