headlines,terms,dates
"next republican running, im voting for!! that's exactly what this screwed up economy needs, trump just not the right 1 to vote for right now",trump,Sat Oct 08 23:43:45 +0000 2016
rt @politixgal: trump did not--&gt;-shrivel our military-betray our veterans-cripple our economy-increase debt to $20 trillion-double bla…,trump,Sat Oct 08 23:43:43 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:43:41 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:43:28 +0000 2016
"@cny_4_trump @politishox @realdonaldtrump # we need trump as president,new economy, jobs, the wall, healthcare. trump don't owe politicians",trump,Sat Oct 08 23:43:15 +0000 2016
rt @pennlive: rep. scott perry said his continued support of trump is based solely on which candidate can revive the economy. ,trump,Sat Oct 08 23:43:01 +0000 2016
rt @politixgal: trump did not--&gt;-shrivel our military-betray our veterans-cripple our economy-increase debt to $20 trillion-double bla…,trump,Sat Oct 08 23:42:41 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:42:23 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:42:10 +0000 2016
"rt @ajenglish: ""trump's policy proposals will make things worse, he's taking the policies that created the problem &amp; doubling them"" ",trump,Sat Oct 08 23:41:06 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:39:45 +0000 2016
rt @politixgal: trump did not--&gt;-shrivel our military-betray our veterans-cripple our economy-increase debt to $20 trillion-double bla…,trump,Sat Oct 08 23:39:20 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:38:53 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:38:35 +0000 2016
