headlines,terms,dates
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:15:44 +0000 2012
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:14:28 +0000 2012
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:11:39 +0000 2012
immigrant groups call for romney to take down ad via @huffpostpol - he lies about everything! #latinos4obama #obama2012,romney,Thu Oct 18 23:10:54 +0000 2012
"romney’s inaccurate spanish-language ad on immigration (video): we called out mitt romney in our lies, ... #seattle",romney,Thu Oct 18 23:10:42 +0000 2012
immigrant groups call for romney to take down ad via @huffpostpol,romney,Thu Oct 18 23:09:41 +0000 2012
immigrant groups point out romney vetoed massachusetts dream act via @huffpostpol,romney,Thu Oct 18 23:07:45 +0000 2012
"rt @truthteam2012 at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:07:28 +0000 2012
immigrant groups call for romney to take down ad via @huffpostpol,romney,Thu Oct 18 23:06:37 +0000 2012
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:06:36 +0000 2012
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:05:41 +0000 2012
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:05:15 +0000 2012
"romney’s inaccurate spanish-language ad on immigration (video): we called out mitt romney in our lies, half-truths... ",romney,Thu Oct 18 23:05:07 +0000 2012
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:05:06 +0000 2012
"#notextreme #ruleoflaw rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions:",romney,Thu Oct 18 23:04:35 +0000 2012
immigrant groups call for romney to take down ad via @huffingtonpost,romney,Thu Oct 18 23:04:25 +0000 2012
"rt @truthteam2012: at the #debate, mr #romney doubled down on his extreme #immigration positions: #latism #p2 #latinos",romney,Thu Oct 18 23:03:50 +0000 2012
"rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:03:35 +0000 2012
immigrant groups point out romney vetoed massachusetts dream act via @huffpostpol,romney,Thu Oct 18 23:02:58 +0000 2012
"exteeeeeeeeeeeeeaaaaam /deepvoice rt @truthteam2012: at the debate, romney doubled down on his extreme immigration positions",romney,Thu Oct 18 23:02:46 +0000 2012
immigrant groups call for romney to take down ad via @huffpostpol,romney,Thu Oct 18 23:02:24 +0000 2012
"at the debate, romney doubled down on his extreme immigration positions: ",romney,Thu Oct 18 23:02:01 +0000 2012
rt @skk_wire at @fi2w and @latinousa forum on #latinovote post #immigration smackdown btw obama and romney at tues debate,romney,Thu Oct 18 22:59:51 +0000 2012
immigrant groups call for romney to take down ad via @huffpostpol,romney,Thu Oct 18 22:59:36 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",romney,Thu Oct 18 22:58:56 +0000 2012
“@immigrationtrap: romney tv ad angers immigration advocates #immigration”,romney,Thu Oct 18 22:58:55 +0000 2012
rt @_janelove: mitt romney would probably ban dora the explorer cause he thinks its promoting immigration.,romney,Thu Oct 18 22:58:43 +0000 2012
immigrant groups point out romney vetoed massachusetts dream act via @huffpostpol,romney,Thu Oct 18 22:58:14 +0000 2012
