headlines,terms,dates
"rt @whpresscorps: rt @kevinmaddendc: ""clinton: romney's right, the economy isn't 'fixed' -- and obama knows it""- ",romney,Thu Oct 18 23:45:52 +0000 2012
"4 years preaching didnt make the economy strong &amp; creat jobs,the country &amp; the world need strong leader to recover the damages #romney",romney,Thu Oct 18 23:44:42 +0000 2012
mrs. romney thinks women didn't care about the economy until now #p2 #topprog,romney,Thu Oct 18 23:44:38 +0000 2012
"on the essential question of who would be better at handling the economy, cnn found mitt romney ahead by 58% to 40% - ",romney,Thu Oct 18 23:44:11 +0000 2012
@slone obama never had a clue! hence economy worse every year last 4 yrs! must vote dems out to give romney super majority to work with!,romney,Thu Oct 18 23:44:04 +0000 2012
new proposal doesn’t stop romney’s plan from giving a huge tax cut to the rich via @thinkprogress - vote #obama2012,romney,Thu Oct 18 23:43:53 +0000 2012
#romney #obama #economy #election #vote #republican #democrat #conservative ,romney,Thu Oct 18 23:42:42 +0000 2012
"romney states he will create jobs and stimulate the economy. as we speak, 2 companies owned by romney are starting to outsource to china....",romney,Thu Oct 18 23:42:08 +0000 2012
rt @dickmorristweet: it's very clear that obama is misleading the people with his stats on jobs and the economy. romney's telling the tr ...,romney,Thu Oct 18 23:42:04 +0000 2012
"rt @kevinmaddendc: ""clinton: romney's right, the economy isn't 'fixed' -- and obama knows it""- ",romney,Thu Oct 18 23:41:23 +0000 2012
rt @ishtarmuz: why do people prefer mitt romney's economy spiel? because when you talk out your magic underwear abo ...,romney,Thu Oct 18 23:40:58 +0000 2012
sent from the cnn app for android raines: romney's radical economic plan,romney,Thu Oct 18 23:40:47 +0000 2012
rt @mdtoorder: romney economic policy director was lobbying for wall street three months ago via @thinkprogress,romney,Thu Oct 18 23:40:14 +0000 2012
"@sophiabush ""we have a choice between romney economics and an economy built to last."" i love that ! #obama2012",romney,Thu Oct 18 23:38:28 +0000 2012
"rt @jstephany: @99uniting: @savesensatajobs &amp; fellow bain workers drop 40ft banner at romney natl hq: ""stop the romney-bain economy! ...",romney,Thu Oct 18 23:38:06 +0000 2012
"rt @destigrace1: brilliant &gt;&gt;#sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underg ...",romney,Thu Oct 18 23:38:03 +0000 2012
"popular: bill clinton: romney’s argument “is true,” obama hasn’t fixed the economy… [vid]",romney,Thu Oct 18 23:37:58 +0000 2012
"rt @kernelwars: #sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underground ...",romney,Thu Oct 18 23:37:53 +0000 2012
this country is not optimal...obama is not optimal...the economy is not optimal.....more of the same is not optimal... vote romney/ryan,romney,Thu Oct 18 23:37:52 +0000 2012
"rt @monicacrowley: as i predicted: bill clinton turns on obama, saying romney is right to say o ""hasn't fixed the economy."" oh snap! #bu ...",romney,Thu Oct 18 23:37:14 +0000 2012
rt @barackobama: rt if you agree: we can't afford to let mitt romney and paul ryan take us back to the same failed policies that crashed ...,romney,Thu Oct 18 23:36:33 +0000 2012
romney the truth-impaired plutocrat supports radical economic plan and people support him? - ,romney,Thu Oct 18 23:36:14 +0000 2012
why do people prefer mitt romney's economy spiel? because when you talk out your magic underwear abo via @ishtarmuz,romney,Thu Oct 18 23:35:26 +0000 2012
why do people prefer mitt romney's economy spiel? because when you talk out your magic underwear about magic (cont) ,romney,Thu Oct 18 23:35:12 +0000 2012
why do people prefer mitt romney's economy spiel? because when you talk out your magic underwear about magic mountain they feel better.,romney,Thu Oct 18 23:35:01 +0000 2012
rt @bmangh: new proposal doesn’t stop romney’s plan from giving a huge tax cut to the rich via @thinkprogress,romney,Thu Oct 18 23:34:44 +0000 2012
@jillusorio i thought romney has looked great in both debates and has a plan for the economy... go tigers... 8-1 right now,romney,Thu Oct 18 23:34:43 +0000 2012
rt @captivatingnews: new proposal doesn’t stop romney’s plan from giving a huge tax cut to the rich #p2,romney,Thu Oct 18 23:33:59 +0000 2012
rt @rcooley123: romney economic policy director was lobbying for wall street three months ago | thinkprogress ,romney,Thu Oct 18 23:32:56 +0000 2012
"rt @pyrotekstudio: sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underground ...",romney,Thu Oct 18 23:32:48 +0000 2012
"rt @pyrotekstudio: sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underground ...",romney,Thu Oct 18 23:32:34 +0000 2012
"rt @huffpostbiz: krugman: romney relying on his ""awesome awesomeness"" to save economy ",romney,Thu Oct 18 23:31:43 +0000 2012
g+: oct18: #cnn +0 poll: romney buries obama on economy 58-40% . #cbs poll romney… ,romney,Thu Oct 18 23:31:08 +0000 2012
"for obama and romney, small new hampshire could have a big impact ",romney,Thu Oct 18 23:31:04 +0000 2012
"""romney will be better for the economy"" is a depressing retread of ""bush kept us safe.""",romney,Thu Oct 18 23:31:03 +0000 2012
rt @subject2inspect: opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach orga... ...,romney,Thu Oct 18 23:30:36 +0000 2012
"rt @destigrace1: brilliant &gt;&gt;#sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underg ...",romney,Thu Oct 18 23:30:24 +0000 2012
"sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underground ",romney,Thu Oct 18 23:30:23 +0000 2012
"rt @capepac: clinton: romney's right, the economy isn't ""fixed"" -- and obama knows it - #stopmrobama",romney,Thu Oct 18 23:30:11 +0000 2012
#mittromney to the #middleclass #inhisownwords - don't expect too much #taxrelief from me #mittgetsworse #ohio #economy,romney,Thu Oct 18 23:30:07 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:58 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:56 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:54 +0000 2012
vìa @cnnee opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organiz... ,romney,Thu Oct 18 23:29:52 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:45 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:44 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes americ... .,romney,Thu Oct 18 23:29:43 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:41 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:40 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach orga... #coreformulas,romney,Thu Oct 18 23:29:39 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:37 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:36 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:35 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:34 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:32 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:30 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:28 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:25 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:24 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:23 +0000 2012
cnn: opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach or... #ifbadnews,romney,Thu Oct 18 23:29:22 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:21 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:13 +0000 2012
#openfollow opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organi... ,romney,Thu Oct 18 23:29:05 +0000 2012
"rt @jstephany: @99uniting: @savesensatajobs &amp; fellow bain workers drop 40ft banner at romney natl hq: ""stop the romney-bain economy! ...",romney,Thu Oct 18 23:29:04 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:29:04 +0000 2012
"clinton: romney's right, the economy isn't ""fixed"" -- and obama knows it - #stopmrobama",romney,Thu Oct 18 23:29:02 +0000 2012
#dmcrss opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach orga... #news,romney,Thu Oct 18 23:28:59 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:28:58 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:28:56 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:28:53 +0000 2012
 opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approac... ,romney,Thu Oct 18 23:28:50 +0000 2012
#openfollow opinion: mitt's radical economic plan: howell raines says romney and ryan's economic... #teamfollowback,romney,Thu Oct 18 23:28:49 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:28:32 +0000 2012
[cnn-top] opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organize... ,romney,Thu Oct 18 23:28:20 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:28:15 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:28:03 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:27:58 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:27:54 +0000 2012
howell raines says romney and ryan's economic approach organizes american society around the needs of corporatio... ,romney,Thu Oct 18 23:27:52 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:27:51 +0000 2012
 opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approac... ,romney,Thu Oct 18 23:27:50 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:27:44 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:27:26 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:27:26 +0000 2012
#headlines opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organiz... ,romney,Thu Oct 18 23:27:09 +0000 2012
fact check: romney’s plans wouldn’t create 12 million jobs and could slow … – enews park forest ,romney,Thu Oct 18 23:27:02 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:56 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:56 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:53 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:52 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:51 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:50 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:48 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:45 +0000 2012
hello opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes... hi,romney,Thu Oct 18 23:26:37 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:26 +0000 2012
#rgp opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes ame... ,romney,Thu Oct 18 23:26:23 +0000 2012
top cnn headline opinion: mitt's radical economic plan - howell raines says romney and ryan's economic approach orga... ,romney,Thu Oct 18 23:26:17 +0000 2012
cnn opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes amer... ,romney,Thu Oct 18 23:26:13 +0000 2012
"brilliant &gt;&gt;#sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underground ",romney,Thu Oct 18 23:26:13 +0000 2012
@cnnbrk opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approa... #topnews #fb,romney,Thu Oct 18 23:26:13 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes am... #news,romney,Thu Oct 18 23:26:10 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:26:09 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approa... ,romney,Thu Oct 18 23:26:08 +0000 2012
 opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approac... ,romney,Thu Oct 18 23:25:48 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:25:43 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:25:43 +0000 2012
cnn: opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes ame... ,romney,Thu Oct 18 23:25:42 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:25:40 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:25:37 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:25:36 +0000 2012
opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes american... ,romney,Thu Oct 18 23:25:33 +0000 2012
#cnn opinion: mitt's radical economic plan: howell raines says romney and ryan's economic approach organizes ame... ,romney,Thu Oct 18 23:25:31 +0000 2012
